"Y_t" "mu_t" "t" "m" "g11" "g21" "g12" "g22" "g13" "g23" "g14" "g24"
-0.120341116492493 -0.00351927886954027 38.1979142 -0.000127715195224178 -0.000490608019468396 -0.00510449784120226 -0.00128192361650106 0.00176700800369103 0.00163337814682005 -0.000445308732888076 -0.00122152061252549 -0.000187137369641046
-0.00263998301214857 -0.00752570891057237 38.2326364 -0.000197323256070885 -0.00075800198782975 -0.0078865802371036 -0.00198060490451543 0.00273007273864011 0.00252361117844921 -0.000688013426875614 -0.00188728071235489 -0.000289132041377651
0.167140253537102 -0.00189904601185623 38.2673587 -0.000265718134201252 -0.00102073560885599 -0.0106201743654525 -0.00266710903872694 0.00367635244212955 0.00339832854545059 -0.000926488077153579 -0.00254143743411978 -0.000389349071683014
-0.0857837991368074 0.0175790680561882 38.3020809 -0.00033289129736938 -0.00127877610658608 -0.0133049392109869 -0.0033413503778969 0.00460572906597591 0.0042574211270264 -0.00116070293406217 -0.003183909171914 -0.000487775958504798
-0.0416420452859885 0.0279942754897219 38.3368031 -0.000398834951378884 -0.00153209354021897 -0.0159405632566743 -0.00400325068885657 0.00551809477330535 0.00510078924145884 -0.00139063082132285 -0.00381462137884025 -0.000584401281233205
-0.0854325339016741 0.00904073237509778 38.4062475 -0.000527002492653521 -0.00202443921196547 -0.0210631403830704 -0.00528971466630604 0.00729136122643302 0.00673995254291396 -0.00183751676392512 -0.00504046841488692 -0.000772201460416231
-0.0259124351670987 -9.37312988970795e-05 38.475692 -0.00065015993100586 -0.00249753896181734 -0.0259854746213263 -0.00652589042827793 0.00899531022718175 0.00831504051948517 -0.00226693381741006 -0.0062183967676499 -0.000952660481165728
0.087267652128252 -0.0104159145362871 38.5104142 -0.000709841294474223 -0.00272680029191194 -0.0283708085704271 -0.00712493386364037 0.0098210337969941 0.00907831880199914 -0.0024750267721793 -0.00678921385431109 -0.00104010985127753
-0.024299247170058 -0.013458080048389 38.5451364 -0.000768248295561336 -0.00295116625773253 -0.0307052090341851 -0.00771118606277101 0.0106291258819756 0.00982529897949116 -0.00267867636610774 -0.00734784241545039 -0.00112569193517036
-0.0394115654558193 -0.0213399218908229 38.5798586 -0.000825373984427069 -0.00317061016200712 -0.0329883982426461 -0.00828457726761029 0.0114194903273725 0.0105558921689041 -0.00287785836696132 -0.0078942159799407 -0.00120939654944512
-0.123789830919401 -0.0326701345819733 38.6145809 -0.00088121172264543 -0.003385106503737 -0.0352201108723996 -0.00884504084587501 0.0121920352870122 0.0112700134699258 -0.00307254962832383 -0.00842827105514774 -0.00129121396700885
-0.0235105351277195 -0.0281255677322132 38.6493031 -0.000935754544470997 -0.00359462852455128 -0.0374000685177917 -0.00939250687985847 0.012946664386083 0.0119675737960828 -0.00326272586250372 -0.00894994101781967 -0.00137113398115689
0.0498768346581556 -0.0233317986746759 38.6840253 -0.000988996122532191 -0.00379915191834263 -0.0395280182875785 -0.00992691185944314 0.0136832900820163 0.0126484922252072 -0.00344836500764831 -0.00945916535037443 -0.00144914732057529
0.188790023255999 0.0289686319190706 38.8923586 -0.00128077576065319 -0.0049200007737077 -0.0511898141316915 -0.0128556096409787 0.0177202173636047 0.0163801271630652 -0.00446572257975344 -0.0122498657181295 -0.00187668355772338
0.0784146111355379 -0.0145484540120813 38.9965253 -0.0014086209556036 -0.00541110817704429 -0.0562995077784573 -0.0141388381117605 0.0194890239830073 0.0180151679054092 -0.00491148458692311 -0.0134726297014609 -0.00206401141219106
-0.113394018015616 -0.0518740772630232 39.1006919 -0.00152424940056328 -0.00585528588257343 -0.0609209245694842 -0.0152994426433742 0.0210888053350968 0.0194939659044759 -0.00531465005380773 -0.0145785476673271 -0.00223343841739165
-0.090039537272203 -0.0544628712882602 39.1354142 -0.00156005573187817 -0.00599283312791091 -0.0623520255483253 -0.0156588437440204 0.0215842050712453 0.019951901070177 -0.00543949715598076 -0.0149210141348705 -0.00228590439567247
0.00517690655819092 -0.0377766876808957 39.1701364 -0.00159448642882693 -0.00612509598049709 -0.0637281454214349 -0.0160044371048867 0.0220605721705113 0.0203922429408306 -0.00555954778898332 -0.0152503234700104 -0.00233635469683351
-0.0610818220206255 -0.0603717866679929 39.2395808 -0.00165920501147023 -0.00637370739746823 -0.0663148060361605 -0.0166540409313639 0.0229559883605544 0.0212199433440377 -0.00578520417999154 -0.0158693185909391 -0.00243118495803699
0.135088313394936 0.115619521202281 39.3437475 -0.00174586941545834 -0.00670662198546526 -0.0697785932722047 -0.0175239229057628 0.024155036721349 0.0223283137562889 -0.00608737978140456 -0.0166982125659896 -0.00255817179445358
-0.0347474530123814 0.0580460838540924 39.3784697 -0.00177196665942148 -0.00680687252457976 -0.0708216432024603 -0.0177858703843163 0.0245161060434151 0.0226620772360909 -0.00617837389233001 -0.0169478173320875 -0.00259641132876716
-0.0371573840758352 -0.00699716791811295 39.4826364 -0.00184184239771101 -0.00707529475508214 -0.0736144240820202 -0.0184872384476588 0.0254828742388886 0.023555733654301 -0.00642201190597994 -0.0176161376089839 -0.00269879822049353
-0.0951119653600313 -0.0296052927945834 39.5173586 -0.00186231969617687 -0.00715395670933719 -0.0744328570463136 -0.018692776500194 0.0257661886105233 0.0238176223963676 -0.00649341076980971 -0.0178119909067922 -0.00272880301174432
-0.120181415679972 -0.0545224551582605 39.586803 -0.00189903753764042 -0.00729500545023264 -0.0759003890980426 -0.0190613267579488 0.0262741995768807 0.0242872150688738 -0.00662143606412037 -0.0181631754319886 -0.00278260459939664
-0.122215285038254 -0.0713813359552197 39.6215252 -0.00191527371158777 -0.0073573754535049 -0.0765493135640634 -0.0192242951094294 0.026498835723456 0.024494863122553 -0.00667804726089105 -0.0183184648719837 -0.00280639499395546
-0.0823251653286495 -0.0529950428808007 39.6562475 -0.00193009212956809 -0.00741429925716209 -0.0771415734158203 -0.0193730329313841 0.0267038564582817 0.0246843791786261 -0.00672971512173282 -0.018460194311274 -0.00282810799183493
-0.0746274941620561 -0.074226713594585 39.7256919 -0.00195546860224132 -0.00751178100925476 -0.0781558156894236 -0.0196277457677558 0.0270549535242209 0.0250089245534743 -0.00681819609591488 -0.0187029053245496 -0.0028652914008921
0.128062514099674 0.0832709114486638 39.7951363 -0.00197515492664901 -0.00758740449799715 -0.07894263514551 -0.0198253445275276 0.0273273243468985 0.0252606973517094 -0.00688683704472151 -0.0188911934214096 -0.00289413720080721
